Object	Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
3DActivation	A	name	1.6		FALSE	FALSE	FALSE	XA	[PO,PV,XA]			Table 310
3DActivation	AIS	name	1.6		FALSE	FALSE	FALSE	L	[I,L]			
3DActivation	D	name	1.6		FALSE	FALSE	FALSE	PI	[PC,PI,XD]			
3DActivation	DIS	name	1.6		FALSE	FALSE	FALSE	U	[U,I,L]			
3DActivation	TB	boolean	1.7		FALSE	FALSE	FALSE	true				
3DActivation	NP	boolean	1.7		FALSE	FALSE	FALSE	false				
3DActivation	Style	name	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	Embedded	[Embedded,Windowed]			
3DActivation	Window	dictionary	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE				[RichMediaWindow]	
3DActivation	Transparent	boolean	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	false				
3DAnimationStyle	Type	name	1.7		FALSE	FALSE	FALSE		[3DAnimationStyle]			Table 312
3DAnimationStyle	Subtype	name	1.7		FALSE	FALSE	FALSE	None	[None,Linear,Oscillating]			Table 313
3DAnimationStyle	PC	integer	1.7		FALSE	FALSE	FALSE	0		[fn:Ignore(@Subtype==None)]		
3DAnimationStyle	TM	number	1.7		FALSE	FALSE	FALSE	1	[fn:Eval(@TM>0)]	[fn:Ignore(@Subtype==None)]		
3DBackground	Type	name	1.6		FALSE	FALSE	FALSE		[3DBG]			Table 317
3DBackground	Subtype	name	1.6		FALSE	FALSE	FALSE	SC	[SC]			
3DBackground	CS	name	1.6		FALSE	FALSE	FALSE	DeviceRGB	[DeviceRGB]			
3DBackground	C	array	1.6		FALSE	FALSE	FALSE	[1 1 1]			[ArrayOf_3RGBNumbers]	
3DBackground	EA	boolean	1.6		FALSE	FALSE	FALSE	false				
3DCrossSection	Type	name	1.7		FALSE	FALSE	FALSE		[3DCrossSection]			Table 322
3DCrossSection	C	array	1.7		FALSE	FALSE	FALSE	[0 0 0]			[ArrayOf_3CenterOfRotationNumbers]	
3DCrossSection	O	array	1.7		TRUE	FALSE	FALSE	[null 0 0]			[ArrayOf_3OrientationNumbers]	
3DCrossSection	PO	number	1.7		FALSE	FALSE	FALSE	0.5	[fn:Eval((@PO>=0) && (@PO<=1))]			
3DCrossSection	PC	array	1.7		FALSE	FALSE	FALSE	[DeviceRGB 1 1 1]			[ArrayOf_4ColourSpaceEntries]	
3DCrossSection	IV	boolean	1.7		FALSE	FALSE	FALSE	true				
3DCrossSection	PV	boolean	1.7		FALSE	FALSE	FALSE	true				See https://github.com/pdf-association/pdf-issues/issues/49
3DCrossSection	IC	array	1.7		FALSE	FALSE	FALSE	[DeviceRGB 0 1 0]		[fn:IsMeaningful(@IV==true)]	[ArrayOf_4ColourSpaceEntries]	
3DCrossSection	ST	boolean	2.0		FALSE	FALSE	FALSE	false				
3DCrossSection	SC	boolean	2.0		FALSE	FALSE	FALSE	false				
3DLightingScheme	Type	name	1.7		FALSE	FALSE	FALSE		[3DLightingScheme]			Table 320
3DLightingScheme	Subtype	name	1.7		TRUE	FALSE	FALSE		[Artwork,None,White,Day,Night,Hard,Primary,Blue,Red,Cube,CAD,Headlamp]			Table 321
3DMeasure3DC	Type	name	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE		[3DMeasure]			Table 326 and Table 331 3D comment note
3DMeasure3DC	Subtype	name	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE		[3DC]			
3DMeasure3DC	TRL	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE					
3DMeasure3DC	A1	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		TRUE	FALSE	FALSE				[ArrayOf_3Numbers]	
