Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2,0		NEPRAVDA	NEPRAVDA	3DMeasure				
Subtype	name	2,0		PRAVDA	NEPRAVDA	3DC				
TRL	string	2,0		NEPRAVDA	NEPRAVDA					
A1	array	2,0		PRAVDA	NEPRAVDA					[]
N1	string	2,0		NEPRAVDA	NEPRAVDA					
TP	array	2,0		PRAVDA	NEPRAVDA					[]
TB	array	2,0		NEPRAVDA	NEPRAVDA					[]
TS	number	2,0		NEPRAVDA	NEPRAVDA		12			
C	array	2,0		NEPRAVDA	NEPRAVDA		[1 1 1]	<0,1>		[]
UT	string	2,0		NEPRAVDA	NEPRAVDA					
S	dictionary	2,0		NEPRAVDA	NEPRAVDA					[AnnotProjection]
