Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2,0		NEPRAVDA	NEPRAVDA	3DMeasure				
Subtype	name	2,0		PRAVDA	NEPRAVDA	AD3				
TRL	string	2,0		NEPRAVDA	NEPRAVDA					
AP	array	2,0		PRAVDA	NEPRAVDA					[]
A1	array	2,0		PRAVDA	NEPRAVDA					[]
D1	array	2,0		PRAVDA	NEPRAVDA					[]
N1	string	2,0		NEPRAVDA	NEPRAVDA					
A2	array	2,0		PRAVDA	NEPRAVDA					[]
D2	array	2,0		PRAVDA	NEPRAVDA					[]
N2	string	2,0		NEPRAVDA	NEPRAVDA					
TP	array	2,0		PRAVDA	NEPRAVDA					[]
TX	array	2,0		PRAVDA	NEPRAVDA					[]
TY	array	2,0		PRAVDA	NEPRAVDA					[]
TS	number	2,0		NEPRAVDA	NEPRAVDA		12			
C	array	2,0		NEPRAVDA	NEPRAVDA		[1 1 1]			[]
V	number	2,0		PRAVDA	NEPRAVDA					
P	integer	2,0		NEPRAVDA	NEPRAVDA		3			
UT	string	2,0		NEPRAVDA	NEPRAVDA					
DR	boolean	2,0		NEPRAVDA	NEPRAVDA		PRAVDA			
S	dictionary	2,0		NEPRAVDA	NEPRAVDA					[AnnotProjection]
