Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2.0		FALSE	FALSE	3DMeasure				
Subtype	name	2.0		TRUE	FALSE	RD3				
TRL	string	2.0		FALSE	FALSE					
AP	array	2.0		TRUE	FALSE					
A1	array	2.0		TRUE	FALSE					
A2	array	2.0		TRUE	FALSE					
N2	string	2.0		FALSE	FALSE					
A3	array	2.0		FALSE	FALSE					
A4	array	2.0		FALSE	FALSE					
TP	array	2.0		TRUE	FALSE					
TX	array	2.0		TRUE	FALSE					
TY	array	2.0		TRUE	FALSE					
EL	number	2.0		FALSE	FALSE		60			
TS	number	2.0		FALSE	FALSE		12			
C	array	2.0		FALSE	FALSE		[1 1 1]			
V	number	2.0		TRUE	FALSE					
U	string	2.0		TRUE	FALSE					
P	integer	2.0		FALSE	FALSE		3			
UT	string	2.0		FALSE	FALSE					
SC	boolean	2.0		FALSE	FALSE		FALSE			
R	boolean	2.0		FALSE	FALSE		TRUE			
S	dictionary	2.0		FALSE	FALSE					
