Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.6		FALSE	FALSE	3D				
Subtype	name	1.6		TRUE	FALSE			U3D;PRC		
VA	array	1.6		FALSE	FALSE		0			
DV	various	1.6		FALSE	FALSE					
Resources	name tree	1.6		FALSE	FALSE					
OnInstantiate	stream	1.6		FALSE	FALSE					
AN	dictionary	1.7		FALSE	FALSE					
ColorSpace	name;array	2.0		FALSE	FALSE					
Length	integer	1.0		TRUE	FALSE					
Filter	name;array	1.0		FALSE	FALSE					StandardFilters
DecodeParams	dictionary;array	1.0		FALSE	FALSE					
F	file specification	1.2		FALSE	FALSE					
FFilter	name;array	1.0		FALSE	FALSE					StandardFilters
FDecodeParams	dictionary;array	1.2		FALSE	FALSE					
DL	integer	1.5		FALSE	FALSE					
