Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,6		NEPRAVDA	NEPRAVDA	3DView				
XN	string	1,6		PRAVDA	NEPRAVDA					
IN	string	1,6		NEPRAVDA	NEPRAVDA			M;U3D		
MS	name	1,6		NEPRAVDA	NEPRAVDA					
MA	array	2,0		NEPRAVDA	NEPRAVDA					[ArrayOf3DMeasure]
C2W	array	1,6		NEPRAVDA	NEPRAVDA				Required=TRUE=>MS=M	[]
U3DPath	array;string	1,6		NEPRAVDA	NEPRAVDA				Required=TRUE=>MS=U3D	[];[]
CO	number	1,6		NEPRAVDA	NEPRAVDA					
P	dictionary	1,6		NEPRAVDA	NEPRAVDA					[Projection]
O	stream	1,6		NEPRAVDA	NEPRAVDA					[XObjectFormType1]
BG	dictionary	1,6		NEPRAVDA	NEPRAVDA					[3DBackground]
RM	dictionary	1,7		NEPRAVDA	NEPRAVDA					[3DRenderMode]
LS	dictionary	1,7		NEPRAVDA	NEPRAVDA					[3DLightningScheme]
SA	array	1,7		NEPRAVDA	NEPRAVDA					[3DCrossSection]
NA	array	1,7		NEPRAVDA	NEPRAVDA					[3DNode]
NR	boolean	1,7		NEPRAVDA	NEPRAVDA		NEPRAVDA			
