Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
E	dictionary	1.2		FALSE	FALSE					[ActionDecision]
X	dictionary	1.2		FALSE	FALSE					[ActionDecision]
D	dictionary	1.2		FALSE	FALSE					[ActionDecision]
U	dictionary	1.2		FALSE	FALSE					[ActionDecision]
Fo	dictionary	1.2		FALSE	FALSE					[ActionDecision]
Bl	dictionary	1.2		FALSE	FALSE					[ActionDecision]
PO	dictionary	1.5		FALSE	FALSE					[ActionDecision]
PC	dictionary	1.5		FALSE	FALSE					[ActionDecision]
PV	dictionary	1.5		FALSE	FALSE					[ActionDecision]
PI	dictionary	1.5		FALSE	FALSE					[ActionDecision]
