Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1.0		FALSE	FALSE	Annot					
Subtype	name	1.0		TRUE	FALSE	Link					
Rect	rectangle	1.0		TRUE	FALSE						
Contents	string	1.0		FALSE	FALSE						text string
P	dictionary	1.3		FALSE	FALSE					[PageObject]	
NM	string	1.4		FALSE	FALSE						text string
M	date;string	1.1		FALSE	FALSE						text string
F	integer	1.1		FALSE	FALSE		0				
AP	dictionary	1.2		FALSE	FALSE					[Appearance]	
AS	name	1.2		FALSE	FALSE						
Border	array	1.0		FALSE	FALSE		[0 0 1]			[]	
C 	array	1.1		FALSE	FALSE			0;1;3;4		[]	
StructParent	integer	1.3		FALSE	FALSE						
OC	dictionary	1.5		FALSE	FALSE					[OptContentGroup,OptContentMembership]	*
AF	array;dictionary	2.0		FALSE	FALSE					[];[FileSpecification]	*
ca	number	2.0		FALSE	FALSE		1.0				
CA	number	2.0		FALSE	FALSE						
BM	name	2.0		FALSE	FALSE						
Lang	string	2.0		FALSE	FALSE						text string
A	dictionary	1.1		FALSE	FALSE					[ActionDecision]	
Dest	array;name;string	1.0		FALSE	FALSE					[];[];[]	
H	name	1.2		FALSE	FALSE		I	N;I;O;P			
PA	dictionary	1.3		FALSE	FALSE					[ActionURI]	
QuadPoints	array	1.6		FALSE	FALSE					[]	
BS	dictionary	1.6		FALSE	FALSE					[Border]	
ExData	dictionary	1.7		FALSE	FALSE					[ExData]	
