Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1.0		FALSE	FALSE	Annot					
Subtype	name	1.0		TRUE	FALSE	PrinterMark					
Rect	rectangle	1.0		TRUE	FALSE						
Contents	string	1.0		FALSE	FALSE						text string
P	dictionary	1.3		FALSE	FALSE					[PageObject]	
NM	string	1.4		FALSE	FALSE						text string
M	date;string	1.1		FALSE	FALSE						text string
F	integer	1.1		FALSE	FALSE		0				
AP	dictionary	1.2		FALSE	FALSE					[Appearance]	
AS	name	1.2		FALSE	FALSE						
Border	array	1.0		FALSE	FALSE		[0 0 1]			[]	
C 	array	1.1		FALSE	FALSE			0;1;3;4		[]	
StructParent	integer	1.3		FALSE	FALSE						
OC	dictionary	1.5		FALSE	FALSE					[OptContentGroup,OptContentMembership]	*
AF	array;dictionary	2.0		FALSE	FALSE					[ArrayOfFileSpecifications];[FileSpecification]	*
ca	number	2.0		FALSE	FALSE		1.0				
CA	number	2.0		FALSE	FALSE						
BM	name	2.0		FALSE	FALSE						
Lang	string	2.0		FALSE	FALSE						text string
MN	name	1.0		FALSE	FALSE			ColorBar;RegistrationTarget			
ExData	dictionary	1.7		FALSE	FALSE					[ExData]	
