Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1,0		NEPRAVDA	NEPRAVDA	Annot					
Subtype	name	1,0		PRAVDA	NEPRAVDA	Screen					
Rect	rectangle	1,0		PRAVDA	NEPRAVDA						
Contents	string	1,0		NEPRAVDA	NEPRAVDA						text string
P	dictionary	1,3		NEPRAVDA	NEPRAVDA					[PageObject]	
NM	string	1,4		NEPRAVDA	NEPRAVDA						text string
M	date;string	1,1		NEPRAVDA	NEPRAVDA						text string
F	integer	1,1		NEPRAVDA	NEPRAVDA		0				
AP	dictionary	1,2		NEPRAVDA	NEPRAVDA					[Appearance]	
AS	name	1,2		NEPRAVDA	NEPRAVDA						
Border	array	1,0		NEPRAVDA	NEPRAVDA		[0 0 1]			[]	
C 	array	1,1		NEPRAVDA	NEPRAVDA			0;1;3;4		[]	
StructParent	integer	1,3		NEPRAVDA	NEPRAVDA						
OC	dictionary	1,5		NEPRAVDA	NEPRAVDA					[OptContentGroup,OptContentMembership]	*
AF	array;dictionary	2,0		NEPRAVDA	NEPRAVDA					[ArrayOfFileSpecifications];[FileSpecification]	*
ca	number	2,0		NEPRAVDA	NEPRAVDA		1,0				
CA	number	2,0		NEPRAVDA	NEPRAVDA						
BM	name	2,0		NEPRAVDA	NEPRAVDA						
Lang	string	2,0		NEPRAVDA	NEPRAVDA						text string
T	string	1,5		NEPRAVDA	NEPRAVDA						
MK	dictionary	1,5		NEPRAVDA	NEPRAVDA					[AppearanceCharacteristics]	
A	dictionary	1,1		NEPRAVDA	NEPRAVDA					[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]	
AA	dictionary	1,2		NEPRAVDA	NEPRAVDA					[AddActionAnnotation]	
ExData	dictionary	1,7		NEPRAVDA	NEPRAVDA					[ExData3DMarkup,ExDataMarkupGeo,ExDataProjection]	
