Key	Type	SinceVersion	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
E	dictionary	1.2	FALSE	FALSE					Action
X	dictionary	1.2	FALSE	FALSE					Action
D	dictionary	1.2	FALSE	FALSE					Action
U	dictionary	1.2	FALSE	FALSE					Action
Fo	dictionary	1.2	FALSE	FALSE					Action
Bl	dictionary	1.2	FALSE	FALSE					Action
PO	dictionary	1.5	FALSE	FALSE					Action
PC	dictionary	1.5	FALSE	FALSE					Action
PV	dictionary	1.5	FALSE	FALSE					Action
PI	dictionary	1.5	FALSE	FALSE					Action
