Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
N	stream;dictionary	1.2	2.0	TRUE	FALSE					
R	stream;dictionary	1.2	2.0	FALSE	FALSE		@N			
D	stream;dictionary	1.2	2.0	FALSE	FALSE		@N			
Length	integer	1.0	2.0	TRUE	FALSE					
Filter	name;array	1.0	2.0	FALSE	FALSE					StandardFilters
DecodeParams	dictionary;array	1.0	2.0	FALSE	FALSE					
F	file specification	1.2	2.0	FALSE	FALSE					
FFilter	name;array	1.0	2.0	FALSE	FALSE					StandardFilters
FDecodeParams	dictionary;array	1.2	2.0	FALSE	FALSE					
DL	integer	1.5	2.0	FALSE	FALSE					
PCM	name	1.0	2.0	FALSE	FALSE					
SeparationColorNames	array	1.0	2.0	FALSE	FALSE					
TrapRegions	array	1.0	2.0	FALSE						
TrapStyles	string	1.0	2.0	FALSE						
