Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,0		PRAVDA	NEPRAVDA	CIDFont				
Subtype	name	1,0		PRAVDA	NEPRAVDA	CIDFontType0				
BaseFont	name	1,0		PRAVDA	NEPRAVDA					
CIDSystemInfo	dictionary	1,0		PRAVDA	NEPRAVDA					[CIDSystemInfo]
FontDescriptor	dictionary	1,0		PRAVDA	PRAVDA					[]
DW	number	1,0		NEPRAVDA	NEPRAVDA		1000			
W	array	1,0		NEPRAVDA	NEPRAVDA		none			[]
DW2	array	1,0		NEPRAVDA	NEPRAVDA		[888 -1000]			[]
W2	array	1,0		NEPRAVDA	NEPRAVDA		none			[]
CIDtoGIDMap	name;stream	1,0		NEPRAVDA	NEPRAVDA					[];[]
