Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.3		TRUE	FALSE	DocTimeStamp				
Filter	name	1.3		TRUE	FALSE				Inheritable:Parent	
SubFilter	name	1.3		FALSE	FALSE					
Contents	string	1.3		TRUE	FALSE					
Cert	array;string	1.3		FALSE	FALSE					[];[]
ByteRange	array	1.3		FALSE	FALSE					[]
Reference	array	1.5		FALSE	FALSE					[]
Changes	array	1.3		FALSE	FALSE					[]
Name	string	1.3		FALSE	FALSE					
M	date	1.3		FALSE	FALSE					
Location	string	1.3		FALSE	FALSE					
Reason	string	1.3		FALSE	FALSE					
ContactInfo	string	1.3		FALSE	FALSE					
R	integer	1.3		FALSE	FALSE					
V	integer	1.5		FALSE	FALSE		0			
Prop_Build	dictionary	1.5		FALSE	FALSE					[]
Prop_AuthTime	integer	1.5		FALSE	FALSE					
Prop_AuthType	name	1.5		FALSE	FALSE					
