Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		FALSE	FALSE	Filespec			IsRequired=>IsPresent(EF||EP||RF)	
FS	name	1.0		FALSE	FALSE					
F 	string	1.0		FALSE	FALSE					
UF	string	1.7		FALSE	FALSE					
DOS	string	1.0	2.0	FALSE	FALSE					
Mac	string	1.0	2.0	FALSE	FALSE					
Unix	string	1.0	2.0	FALSE	FALSE					
ID	array	1.0		FALSE	FALSE					
V	boolean	1.2		FALSE	FALSE					
EF	dictionary	1.3		FALSE	FALSE					
RF	dictionary	1.3		FALSE	FALSE					
Desc	string	1.6		FALSE	FALSE					
CI	dictionary	1.7		FALSE	FALSE					CollectionItem
Thumb	stream	2.0		FALSE	FALSE					
AFRelationship	name	2.0		FALSE	FALSE					
EP	dictionary	2.0		FALSE	FALSE					
