Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,0		PRAVDA		Font				
Subtype	name	1,0		PRAVDA		TrueType				
Name	name	1,0	2,0	NEPRAVDA						
BaseFont	name	1,0		PRAVDA						
FirstChar	integer	1,0		PRAVDA						
LastChar	integer	1,0		PRAVDA						
Widths	array	1,0		PRAVDA						[]
FontDescriptor	dictionary	1,0		PRAVDA						[FontDescriptor]
Encoding	dictionary;name	1,0		NEPRAVDA						[Encoding];[]
ToUnicode	stream	1,2		NEPRAVDA						[]
