Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,0		PRAVDA	NEPRAVDA	Font				
Subtype	name	1,0		PRAVDA	NEPRAVDA	Type3				
Name	name	1,0		NEPRAVDA	NEPRAVDA					
FontBBox	rectangle	1,0		PRAVDA	NEPRAVDA					
FontMatrix	array	1,0		PRAVDA	NEPRAVDA					[]
CharProcs	dictionary	1,0		PRAVDA	NEPRAVDA					[]
Encoding	dictionary	1,0		PRAVDA	NEPRAVDA					[Encoding]
FirstChar	integer	1,0		PRAVDA	NEPRAVDA					
LastChar	integer	1,0		PRAVDA	NEPRAVDA					
Widths	array	1,0		PRAVDA	PRAVDA					[]
FontDescriptor	dictionary	1,0		???	PRAVDA					[FontDescriptor]
Resources	dictionary	1,2		NEPRAVDA	NEPRAVDA					[Resource]
ToUnicode	stream	1,2		NEPRAVDA	NEPRAVDA					[]
