Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		FALSE	FALSE	XObject				
Subtype	name	1.0		TRUE	FALSE	Form				
FormType	integer	1.0		FALSE	FALSE	1		1		
BBox	rectangle	1.0		TRUE	FALSE					
Matrix	array	1.0		FALSE	FALSE	[1 0 0 1 0 0]				
Resources	dictionary	1.2		FALSE	FALSE					
Group	dictionary	1.4		FALSE	FALSE					
Ref	dictionary	1.4		FALSE	FALSE					
Metadata	stream	1.4		FALSE	FALSE					
PieceInfo	dictionary	1.3		FALSE	FALSE					
LastModified	date	1.3		FALSE	FALSE				IsRequired=>PieceInfoIsPresent	
StructParent	integer	1.3		FALSE	FALSE					
StructParents	integer	1.3		FALSE	FALSE					
OPI	dictionary	1.2	2.0	FALSE	FALSE					
OC	dictionary	1.5		FALSE	FALSE					
Name	name	1.0	2.0	FALSE	FALSE					
AF	dictionary;array	2.0		FALSE	FALSE					
Measure	dictionary	2.0		FALSE	FALSE					
PtData	dictionary	2.0		FALSE	FALSE					
