Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Size	array	1.2		TRUE	FALSE					
BitsPerSample	integer	1.2		TRUE	FALSE			1;2;4;8;12;16;24;32		
Order	integer	1.2		FALSE	FALSE		1	1;3		
Encode	array	1.2		FALSE	FALSE					
Decode	array	1.2		FALSE	FALSE		@Range			
other stream attributes	various	1.2		FALSE	FALSE					Stream
FunctionType	integer	1.2		TRUE	FALSE			0;2;3;4		
Domain	array	1.2		TRUE	FALSE					
Range	array	1.2		TRUE	FALSE					
Length	integer	1.0		TRUE	FALSE					
Filter	name;array	1.0		FALSE	FALSE					StandardFilters
DecodeParams	dictionary;array	1.0		FALSE	FALSE					
F	file specification	1.2		FALSE	FALSE					
FFilter	name;array	1.0		FALSE	FALSE					StandardFilters
FDecodeParams	dictionary;array	1.2		FALSE	FALSE					
DL	integer	1.5		FALSE	FALSE					
