Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.2		FALSE	FALSE	Halftone				
HalftoneType	integer	1.2		TRUE	FALSE	16				
HalftoneName	string	1.2		FALSE	FALSE					
Width	integer	1.2		TRUE	FALSE					
Height	integer	1.2		TRUE	FALSE					
Width2	integer	1.2		FALSE	FALSE					
Height2	integer	1.2		FALSE	FALSE					
TransferFunction	function;name	1.2		FALSE	FALSE					
Length	integer	1.0		TRUE	FALSE					
Filter	name;array	1.0		FALSE	FALSE					StandardFilters
DecodeParams	dictionary;array	1.0		FALSE	FALSE					
F	file specification	1.2		FALSE	FALSE					
FFilter	name;array	1.0		FALSE	FALSE					StandardFilters
FDecodeParams	dictionary;array	1.2		FALSE	FALSE					
DL	integer	1.5		FALSE	FALSE					
