Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
JavaScriptActions	integer	1,5		NEPRAVDA	NEPRAVDA					
LaunchActions	integer	1,5		NEPRAVDA	NEPRAVDA					
URIActions	integer	1,5		NEPRAVDA	NEPRAVDA					
MovieActions	integer	1,5		NEPRAVDA	NEPRAVDA					
SoundActions	integer	1,5		NEPRAVDA	NEPRAVDA					
HideAnnotationActions	integer	1,5		NEPRAVDA	NEPRAVDA					
GoToRemoteActions	integer	1,5		NEPRAVDA	NEPRAVDA					
AlternateImages	integer	1,5		NEPRAVDA	NEPRAVDA					
ExternalStreams	integer	1,5		NEPRAVDA	NEPRAVDA					
TrueTypeFonts	integer	1,5		NEPRAVDA	NEPRAVDA					
ExternalRefXobjects	integer	1,5		NEPRAVDA	NEPRAVDA					
ExternalOPIdicts	integer	1,5		NEPRAVDA	NEPRAVDA					
NonEmbeddedFonts	integer	1,5		NEPRAVDA	NEPRAVDA					
DevDepGS_HT	integer	1,5		NEPRAVDA	NEPRAVDA					
DevDepGS_TR	integer	1,5		NEPRAVDA	NEPRAVDA					
DevDepGS_UCR	integer	1,5		NEPRAVDA	NEPRAVDA					
DevDepGS_BG	integer	1,5		NEPRAVDA	NEPRAVDA					
DevDepGS_FL	integer	1,5		NEPRAVDA	NEPRAVDA					
Annotations	integer	1,5		NEPRAVDA	NEPRAVDA					
OptionalContent	boolean	1,5		NEPRAVDA	NEPRAVDA					
Attestation	string	1,5		NEPRAVDA	NEPRAVDA					
