Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,5		NEPRAVDA	NEPRAVDA	MediaCriteria				
A	boolean	1,5		NEPRAVDA	NEPRAVDA					
C	boolean	1,5		NEPRAVDA	NEPRAVDA					
O	boolean	1,5		NEPRAVDA	NEPRAVDA					
S	boolean	1,5		NEPRAVDA	NEPRAVDA					
R	integer	1,5		NEPRAVDA	NEPRAVDA					
D	dictionary	1,5		NEPRAVDA	NEPRAVDA					[MinimumBitDepth]
Z	dictionary	1,5		NEPRAVDA	NEPRAVDA					[MinimumScreenSize]
V	array	1,5		NEPRAVDA	NEPRAVDA					[SoftwareIdentifier]
P	array	1,5		NEPRAVDA	NEPRAVDA					
L	array	1,5		NEPRAVDA	NEPRAVDA					
