Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Dests	name tree	1,2		NEPRAVDA	NEPRAVDA					[]
AP	name tree	1,3		NEPRAVDA	NEPRAVDA					[Appearance]
JavaScript	name tree	1,3		NEPRAVDA	NEPRAVDA					[ActionECMAScript]
Pages	name tree	1,3		NEPRAVDA	NEPRAVDA					[PageObject]
Templates	name tree	1,3		NEPRAVDA	NEPRAVDA					[]
IDS	name tree	1,3		NEPRAVDA	NEPRAVDA					[WebCaptureContentSet]
URLS	name tree	1,3		NEPRAVDA	NEPRAVDA					[WebCaptureContentSet]
EmbeddedFiles	name tree	1,4		NEPRAVDA	NEPRAVDA					[EmbeddedFileStream]
AlternatePresentations	name tree	1,4	2,0	NEPRAVDA	NEPRAVDA					[SlideShow]
Renditions	name tree	1,5		NEPRAVDA	NEPRAVDA					[RenditionMedia,RenditionSelector]
