Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.2	2.0	FALSE	FALSE	OPI				
Version	number	1.2	2.0	TRUE	FALSE	2.0				
F	file specification	1.2	2.0	TRUE	FALSE					
MainImage	string	1.2	2.0	FALSE	FALSE					
Tags	array	1.2	2.0	FALSE	FALSE					
Size	array	1.2	2.0	FALSE	FALSE					
CropRect	rectangle	1.2	2.0	FALSE	FALSE					
Overprint	boolean	1.2	2.0	FALSE	FALSE					
Inks	name;array	1.2	2.0	FALSE	FALSE					
IncludedImageDimensions	array	1.2	2.0	FALSE	FALSE					
IncludedImageQuality	number	1.2	2.0	FALSE	FALSE					
