Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.5		TRUE	FALSE	ObjStm				
N	integer	1.5		TRUE	FALSE					
First	integer	1.5		TRUE	FALSE					
Extend	stream	1.5		FALSE	FALSE					
Length	integer	1.0		TRUE	FALSE					
Filter	name;array	1.0		FALSE	FALSE			ASCIIHexDecode;ASCII85Decode;LZWDecode;FlateDecode;RunLengthDecode;CCITTFaxDecode;JBIG2Decode;DCTDecode;JPXDecode;Crypt		
DecodeParams	dictionary;array	1.0		FALSE	FALSE			LZWDecode;FlatDecode;CCITTFaxDecode;JBIG2Decode;Crypt		
F	file specification	1.2		FALSE	FALSE					
FFilter	name;array	1.0		FALSE	FALSE			ASCIIHexDecode;ASCII85Decode;LZWDecode;FlateDecode;RunLengthDecode;CCITTFaxDecode;JBIG2Decode;DCTDecode;JPXDecode;Crypt		
FDecodeParams	dictionary;array	1.2		FALSE	FALSE			LZWDecode;FlatDecode;CCITTFaxDecode;JBIG2Decode;Crypt		
DL	integer	1.5		FALSE	FALSE					
