Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Name	string	1,5		NEPRAVDA	NEPRAVDA					
Creator	string	1,5		NEPRAVDA	NEPRAVDA					
BaseState	name	1,5		NEPRAVDA	NEPRAVDA		ON	ON;OFF;Unchanged		
ON	array	1,5		NEPRAVDA	NEPRAVDA					[]
OFF	array	1,5		NEPRAVDA	NEPRAVDA					[]
Intent	array;name	1,5		NEPRAVDA	NEPRAVDA		View			[];[]
AS	array	1,5		NEPRAVDA	NEPRAVDA					[]
Order	array	1,5		NEPRAVDA	NEPRAVDA					[]
ListMode	name	1,5		NEPRAVDA	NEPRAVDA		AllPages	AllPages;VisiblePages		
RBGroups	array	1,5		NEPRAVDA	NEPRAVDA					[]
Locked	array	1,6		NEPRAVDA	NEPRAVDA		empty array			[]
