Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Title	string	1,0		PRAVDA	NEPRAVDA					
Parent	dictionary	1,0		PRAVDA	PRAVDA					[OutlineItem]
Prev	dictionary	1,0		NEPRAVDA	PRAVDA					[OutlineItem]
Next	dictionary	1,0		NEPRAVDA	PRAVDA					[OutlineItem]
First	dictionary	1,0		NEPRAVDA	PRAVDA					[OutlineItem]
Last	dictionary	1,0		NEPRAVDA	PRAVDA					[OutlineItem]
Count	integer	1,0		NEPRAVDA	NEPRAVDA					
Dest	array;name;string	1,0		NEPRAVDA	NEPRAVDA					[];[];[]
A	dictionary	1,1		NEPRAVDA	NEPRAVDA					[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]
SE	dictionary	1,3		NEPRAVDA	PRAVDA					[StructElem]
C 	array	1,4		NEPRAVDA	NEPRAVDA		[0.0 0.0 0.0]			[]
F 	integer	1,4		NEPRAVDA	NEPRAVDA		0			
