Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link		
Title	string	1.0		TRUE	TRUE							
Parent	dictionary	1.0		TRUE	TRUE					OutlineItem		
Prev	dictionary	1.0		FALSE	TRUE					OutlineItem		
Next	dictionary	1.0		FALSE	TRUE					OutlineItem		
First	dictionary	1.0		FALSE	TRUE					OutlineItem		
Last	dictionary	1.0		FALSE	TRUE					OutlineItem		
Count	integer	1.0		FALSE	FALSE							
Dest	name;string;array	1.0		FALSE	FALSE							
A	dictionary	1.1		FALSE	FALSE							
SE	dictionary	1.3		FALSE	TRUE					StructElem		
C	array	1.4		FALSE	FALSE							
F	integer	1.4		FALSE	FALSE		0					
