Type	Description
ASCII String	Bytes containing ASCII characters
array	Array object
boolean	Boolean value
byte string	
date	Date (ASCII string)
dictionary	Dictionary object
file specification	File specification (string or array)
function	Function (dictionary or stream)
integer	Integer number
name	Name object
name tree	Name tree (dictionary)
null	Null object
number	Number (integer or real)
number tree	Number tree (dictionary)
PDFDocEncoded string	
rectangle	Rectangle (array)
stream	Stream object
string	
text string	
text stream	Text stream
