Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		TRUE	FALSE		Page			
Parent	dictionary	1.0		TRUE	TRUE					
LastModified	date	1.3		FALSE	FALSE				IsPresent:PieceInfo=>Required=TRUE	
Resources	dictionary	1.0		TRUE	FALSE				Inheritable:Parent	Resources
MediaBox	rectangle	1.0		TRUE	FALSE				Inheritable:Parent	
CropBox	rectangle	1.0		FALSE	FALSE		@MediaBox		Inheritable:Parent	
BleedBox	rectangle	1.3		FALSE	FALSE		@CropBox			
TrimBox	rectangle	1.3		FALSE	FALSE		@CropBox			
ArtBox	rectangle	1.3		FALSE	FALSE		@CropBox			
BoxColorInfo	dictionary	1.4		FALSE	FALSE					BoxColorInfo
Contents	stream;array	1.0		FALSE	FALSE					
Rotate	integer	1.0		FALSE	FALSE		0	0;90;180;270	Inheritable:Parent	
Group	dictionary	1.4		FALSE	FALSE					Group
Thumb	stream	1.0		FALSE	FALSE					
B	array	1.1		FALSE	FALSE					
Dur	number	1.1		FALSE	FALSE					
Trans	dictionary	1.1		FALSE	FALSE					Trans
Annots	array	1.0		FALSE	FALSE					Annot
AA	dictionary	1.2		FALSE	FALSE					MetadataStream
Metadata	stream	1.4		FALSE	FALSE					
PieceInfo	dictionary	1.3		FALSE	FALSE					
StructParents	integer	1.3		FALSE	FALSE				Required if the page contains structural content items	
ID	byte string	1.3		FALSE	FALSE					
PZ	number	1.3		FALSE	FALSE					
SeparationInfo	dictionary	1.3		FALSE	FALSE					Separation
Tabs	name	1.5		FALSE	FALSE					
TemplateInstantiated	name	1.5		FALSE	FALSE				CreatedFrom:NamedPageObject=>Required=TRUE	
PresSteps	dictionary	1.5		FALSE	FALSE					NavNode
UserUnit	number	1.6		FALSE	FALSE					
VP	array	1.6		FALSE	FALSE		1.0	N*1/72''		Viewport
AF	array;dictionary	2.0		FALSE	FALSE					FileSpecification
OutputIntents	array	2.0		FALSE	FALSE					OutputIntents
DPart	dictionary	2.0		FALSE	FALSE					DPart
