Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
BitsPerCoordinate	integer	1,3		PRAVDA	NEPRAVDA			1;2;4;8;12;16;24;32		
BitsPerComponent	integer	1,3		PRAVDA	NEPRAVDA			1;2;4;8;12;16		
BitsPerFlag	integer	1,3		PRAVDA	NEPRAVDA					
Decode	array	1,3		NEPRAVDA	NEPRAVDA					[]
Function	array;dictionary;stream	1,3		PRAVDA	NEPRAVDA					[ArrayOfFunctions];[FunctionType2,FunctionType3];[FunctionType0,FunctionType4]
ShadingType	integer	1,3		PRAVDA	NEPRAVDA	6				
ColorSpace	array;name	1,3		PRAVDA	NEPRAVDA					[];[]
Background	array	1,3		NEPRAVDA	NEPRAVDA					[]
BBox	rectangle	1,3		NEPRAVDA	NEPRAVDA					
AntiAlias	boolean	1,3		NEPRAVDA	NEPRAVDA		NEPRAVDA			
