Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.3		TRUE	FALSE	StructTreeRoot				
K	array;dictionary	1.3		FALSE	FALSE					[ArrayOfStructElem];[StructElem]
IDTree	name tree	1.3		FALSE	FALSE					[StructElem]
ParentTree	number tree	1.3		FALSE	FALSE					[PageObject]
ParentTreeNextKey	integer	1.3		FALSE	FALSE					
RoleMap	dictionary	1.3		FALSE	FALSE					[RoleMap]
ClassMap	dictionary	1.3		FALSE	FALSE					[ClassMap]
Namespaces	array	2.0		FALSE	FALSE					[ArrayOfNamespace]
PronunciationLexicon	array;dictionary;string	2.0		FALSE	TRUE					[ArrayOfFileSpecifications];[FileSpecification];[]
AF	array;dictionary	2.0		FALSE	FALSE					[ArrayOfFileSpecifications];[FileSpecification]
