Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
HideToolBar	boolean	1,2		NEPRAVDA	NEPRAVDA		NEPRAVDA			
HideMenuBar	boolean	1,2		NEPRAVDA	NEPRAVDA		NEPRAVDA			
HideWindowUI	boolean	1,2		NEPRAVDA	NEPRAVDA		NEPRAVDA			
FitWindow	boolean	1,2		NEPRAVDA	NEPRAVDA		NEPRAVDA			
CenterWindow	boolean	1,2		NEPRAVDA	NEPRAVDA		NEPRAVDA			
DisplayDocTitle	boolean	1,4		NEPRAVDA	NEPRAVDA		NEPRAVDA			
NonFullScreenPageMode	name	1,2		NEPRAVDA	NEPRAVDA		UseNone	UseNone;UseOutlines;UseThumbs;UseOC		
Direction	name	1,3		NEPRAVDA	NEPRAVDA		L2R	L2R;R2L		
ViewArea	name	1,4	2,0	NEPRAVDA	NEPRAVDA		CropBox	MediaBox;CropBox;BleedBox;TrimBox;ArtBox		
ViewClip	name	1,4	2,0	NEPRAVDA	NEPRAVDA		CropBox	MediaBox;CropBox;BleedBox;TrimBox;ArtBox		
PrintArea	name	1,4	2,0	NEPRAVDA	NEPRAVDA		CropBox	MediaBox;CropBox;BleedBox;TrimBox;ArtBox		
PrintClip	name	1,4	2,0	NEPRAVDA	NEPRAVDA		CropBox	MediaBox;CropBox;BleedBox;TrimBox;ArtBox		
PrintScaling	name	1,6		NEPRAVDA	NEPRAVDA		AppDefault	None;AppDefault		
Duplex	name	1,7		NEPRAVDA	NEPRAVDA		implementation dependent	Simplex;DuplexFlipShortEdge;DuplexFlipLongEdge		
PickTrayByPDFSize	boolean	1,7		NEPRAVDA	NEPRAVDA		implementation dependent			
PrintPageRange	array	1,7		NEPRAVDA	NEPRAVDA		implementation dependent			[]
NumCopies	integer	1,7		NEPRAVDA	NEPRAVDA		implementation dependent			
Enforce	array	2,0		NEPRAVDA	NEPRAVDA			PrintScaling		[]
