Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,0		NEPRAVDA	NEPRAVDA	XObject				
Subtype	name	1,0		PRAVDA	NEPRAVDA	Image				
Width	integer	1,0		PRAVDA	NEPRAVDA					
Height	integer	1,0		PRAVDA	NEPRAVDA					
ColorSpace	array;name	1,0		PRAVDA	NEPRAVDA					[];[]
BitsPerComponent	integer	1,0		PRAVDA	NEPRAVDA					
ImageMask	boolean	1,0		NEPRAVDA	NEPRAVDA		NEPRAVDA			
Decode	array	1,0		NEPRAVDA	NEPRAVDA					[]
Interpolate	boolean	1,0		NEPRAVDA	NEPRAVDA		NEPRAVDA			
SMaskInData	integer	1,5		NEPRAVDA	NEPRAVDA					
Matte	array	1,4		NEPRAVDA	NEPRAVDA					[]
