Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.5		TRUE	FALSE	XRef				
Size	integer	1.5		TRUE	FALSE		[0 Size]			
Index	array	1.5		FALSE	FALSE					
Prev	integer	1.5		TRUE	FALSE					
W	array	1.5		TRUE	FALSE					
Length	integer	1.0		TRUE	FALSE					
Filter	name;array	1.0		FALSE	FALSE			ASCIIHexDecode;ASCII85Decode;LZWDecode;FlateDecode;RunLengthDecode;CCITTFaxDecode;JBIG2Decode;DCTDecode;JPXDecode;Crypt	Filter =/= Crypt	
DecodeParams	dictionary;array	1.0		FALSE	FALSE			LZWDecode;FlatDecode;CCITTFaxDecode;JBIG2Decode;Crypt		
F	file specification	1.2		FALSE	FALSE					
FFilter	name;array	1.0		FALSE	FALSE			ASCIIHexDecode;ASCII85Decode;LZWDecode;FlateDecode;RunLengthDecode;CCITTFaxDecode;JBIG2Decode;DCTDecode;JPXDecode;Crypt		
FDecodeParams	dictionary;array	1.2		FALSE	FALSE			LZWDecode;FlatDecode;CCITTFaxDecode;JBIG2Decode;Crypt		
DL	integer	1.5		FALSE	FALSE					
Root	dictionary	1.0		TRUE	TRUE					Catalog
Encrypt	dictionary	1.1		FALSE	FALSE					Encryption
Info	dictionary	1.0		FALSE	TRUE					DocInfo
