Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		FALSE	FALSE			[Annot]		
Subtype	name	1.0		TRUE	FALSE			[Text]		
Rect	rectangle	1.0		TRUE	FALSE					
Contents	string-text	1.0		FALSE	FALSE					
M	date;string-text	1.1		FALSE	FALSE					
F	integer	1.1		FALSE	FALSE		0			
Border	array	1.0		FALSE	FALSE		[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]
C 	array	1.1		FALSE	FALSE					[ArrayOf_4NumbersColorAnnotation]
T 	string-text	1.1		FALSE	FALSE					
Open	boolean	1.0		FALSE	FALSE		FALSE			
Name	name	1.0		FALSE	FALSE		Note	[Comment,Key,Note,Help,NewParagraph,Paragraph,Insert]		
State	string-text	1.0		FALSE	FALSE					
