Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Filter	name	1.1		TRUE	FALSE	FALSE	Standard	[Standard]			
V	integer	1.1		TRUE	FALSE	FALSE		[fn:Deprecated(1.1,0),1,fn:SinceVersion(1.4,2),fn:SinceVersion(1.4,3),fn:SinceVersion(1.5,4)]			
EFF	name	1.1		FALSE	FALSE	FALSE			[fn:IsMeaningful(((@V==4) && fn:SinceVersion(1.5)) || ((@V==5) && fn:SinceVersion(2.0)))]		
R	integer	1.1		TRUE	FALSE	FALSE		[fn:RequiredValue(@V<2,2),fn:RequiredValue((@V==2) || (@V==3),3),fn:RequiredValue(@V==4,4),fn:SinceVersion(2.0,5)]			
O	string-byte	1.1		TRUE	FALSE	FALSE			[fn:Eval(((@R<=4) && (fn:StringLength(O)==32)) || ((@R==6) && (fn:StringLength(O)==48)))]		32 bytes long if the value of R is 4 or less and 48 bytes long if the value of R is 6
U	string-byte	1.1		TRUE	FALSE	FALSE			[fn:Eval(((@R<=4) && (fn:StringLength(U)==32)) || ((@R==6) && (fn:StringLength(U)==48)))]		32 bytes long if the value of R is 4 or less and 48 bytes long if the value of R is 6
OE	string-byte	1.1		fn:IsRequired(@R==6)	FALSE	FALSE			[fn:Eval(fn:StringLength(OE)==32)]		32 byte string
UE	string-byte	1.1		fn:IsRequired(@R==6)	FALSE	FALSE					
P	bitmask	1.1		TRUE	FALSE	FALSE		[fn:BitsClear(1,2),3,4,5,6,fn:BitsSet(7,8),9,11,12,fn:BitsSet(13,32)]			
Perms	string-byte	1.1		fn:IsRequired(@R==6)	FALSE	FALSE					
