Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0	2.0	FALSE	FALSE	FALSE		[XObject]			
Subtype	name	1.0	2.0	TRUE	FALSE	FALSE		[Form]			
FormType	integer	1.0	2.0	FALSE	FALSE	FALSE		[1]			
BBox	rectangle	1.0	2.0	TRUE	FALSE	FALSE					
Matrix	array	1.0	2.0	FALSE	FALSE	FALSE	[1 0 0 1 0 0]			[Matrix]	
Name	name	1.0	2.0	FALSE	FALSE	FALSE					
PCM	name	1.0	2.0	FALSE	FALSE	FALSE					*from trapnet appearance
SeparationColorNames	array	1.0	2.0	FALSE	FALSE	FALSE				[ArrayOfNamesGeneral]	
TrapRegions	array	1.0	2.0	FALSE	FALSE	FALSE				[_UniversalDictionary]	
TrapStyles	string-text	1.0	2.0	FALSE	FALSE	FALSE					
