Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		FALSE	FALSE	FALSE		[XObject]			
Subtype	name	1.0		TRUE	FALSE	FALSE		[Image]			
Width	integer	1.0		TRUE	FALSE	FALSE					
Height	integer	1.0		TRUE	FALSE	FALSE					
BitsPerComponent	integer	1.0		FALSE	FALSE	FALSE		[1]			
Intent	name	1.1		FALSE	FALSE	FALSE					
ImageMask	boolean	1.0		TRUE	FALSE	FALSE	TRUE				
Decode	array	1.0		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral]	
Interpolate	boolean	1.0		FALSE	FALSE	FALSE	FALSE				
Name	name	1.0	2.0	FALSE	FALSE	FALSE					
