Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		FALSE	FALSE			[Annot]		
Subtype	name	1.0		TRUE	FALSE			[Link]		
Rect	rectangle	1.0		TRUE	FALSE					
Contents	string-text	1.0		FALSE	FALSE					
M	date;string-text	1.1		FALSE	FALSE					
F	integer	1.1		FALSE	FALSE		0			
AP	dictionary	1.2		FALSE	FALSE					[Appearance]
AS	name	1.2		FALSE	FALSE					
Border	array	1.0		FALSE	FALSE		[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]
C 	array	1.1		FALSE	FALSE					[ArrayOf_4NumbersColorAnnotation]
A	dictionary	1.1		FALSE	FALSE					[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]
Dest	array;name;string-byte	1.0		FALSE	FALSE					[DestXYZ,Dest0,Dest1,Dest4];[];[]
H	name	1.2		FALSE	FALSE		I	[N,I,O,P]		
