Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2	2.0	FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.2	2.0	TRUE	FALSE	FALSE		[Sound]			
Rect	rectangle	1.2	2.0	TRUE	FALSE	FALSE					
Contents	string-text	1.2	2.0	FALSE	FALSE	FALSE					
M	date;string-text	1.2	2.0	FALSE	FALSE	FALSE					
F	bitmask	1.2	2.0	FALSE	FALSE	FALSE	0		[fn:BitsClear(4,32), fn:SinceVersion(1.3,fn:BitsClear(8,32)), fn:SinceVersion(1.4,fn:BitsClear(9,32)), fn:SinceVersion(1.5,fn:BitsClear(10,32)), fn:SinceVersion(1.7,fn:BitsClear(11,32))]		
AP	dictionary	1.2	2.0	fn:IsRequired((fn:RectWidth(Rect)>0) || (fn:RectHeight(Rect)>0))	FALSE	FALSE				[Appearance]	
AS	name	1.2	2.0	fn:IsRequired(fn:IsPresent(AP::N::*) || fn:IsPresent(AP::R::*) || fn:IsPresent(AP::D::*))	FALSE	FALSE					
Border	array	1.2	2.0	FALSE	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.2	2.0	FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
T	string-text	1.2	2.0	FALSE	FALSE	FALSE					
Sound	stream	1.2	2.0	TRUE	TRUE	FALSE				[SoundObject]	
Name	name	1.2	2.0	FALSE	FALSE	FALSE	Speaker				
