Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
FT	name	1.2		TRUE	FALSE	TRUE		[Tx]			
Parent	dictionary	1.2		FALSE	FALSE	FALSE				[FieldTx,FieldBtn,FieldCh,Field]	
Kids	array	1.2		FALSE	FALSE	FALSE				[ArrayOfFields]	
T	string-text	1.2		FALSE	FALSE	FALSE					
Ff	bitmask	1.2		FALSE	FALSE	TRUE			[fn:Eval(fn:BitsClear(15,20) && fn:BitClear(22) && fn:BitsClear(27,32))]		
V	stream;string-text	1.2		FALSE	[TRUE];[FALSE]	TRUE				[Stream];[]	
DV	stream;string-text	1.2		FALSE	[TRUE];[FALSE]	TRUE				[Stream];[]	
DA	string	1.2		TRUE	FALSE	TRUE					
Q	integer	1.2		FALSE	FALSE	FALSE	0	[0,1,2]			
MaxLen	integer	1.2		FALSE	FALSE	TRUE					
