Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3		FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.3		TRUE	FALSE	FALSE		[Ink]			
Rect	rectangle	1.3		TRUE	FALSE	FALSE					
Contents	string-text	1.3		FALSE	FALSE	FALSE					
P	dictionary	1.3		FALSE	FALSE	FALSE				[PageObject]	
M	date;string-text	1.3		FALSE	FALSE	FALSE					
F	integer	1.3		FALSE	FALSE	FALSE	0				
AP	dictionary	1.3		FALSE	FALSE	FALSE				[Appearance]	
AS	name	1.3		FALSE	FALSE	FALSE					
Border	array	1.3		FALSE	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.3		FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.3		FALSE	FALSE	FALSE					
T	string-text	1.3		FALSE	FALSE	FALSE					
Popup	dictionary	1.3		FALSE	FALSE	FALSE				[AnnotPopup]	
InkList	array	1.3		TRUE	FALSE	FALSE				[ArrayOfArraysInkList]	
BS	dictionary	1.3		FALSE	FALSE	FALSE				[BorderStyle]	
