Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Title	string-text	1.0		TRUE	FALSE					
Parent	dictionary	1.0		TRUE	TRUE				[OutlineItem,Outline]	
Prev	dictionary	1.0		FALSE	TRUE				[OutlineItem]	
Next	dictionary	1.0		FALSE	TRUE				[OutlineItem]	
First	dictionary	1.0		FALSE	TRUE				[OutlineItem]	
Last	dictionary	1.0		FALSE	TRUE				[OutlineItem]	
Count	integer	1.0		FALSE	FALSE					
Dest	array;name;string-byte	1.0		FALSE	FALSE				[DestXYZ,Dest0,Dest1,Dest4];[];[]	
A	dictionary	1.1		FALSE	FALSE				[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]	
SE	dictionary	1.3		FALSE	TRUE				[StructElem]	
