Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[Page,Template]			Table 31
Parent	dictionary	1.0		fn:IsRequired(@Type!=Template)	TRUE	FALSE			[fn:Not(fn:IsPresent(@Type==Template))]	[PageTreeNode,PageTreeNodeRoot]	
LastModified	date	1.3		fn:IsRequired(fn:IsPresent(PieceInfo))	FALSE	FALSE					
Resources	dictionary	1.0		TRUE	FALSE	TRUE				[Resource]	Inheritable from Parent
MediaBox	rectangle	1.0		TRUE	FALSE	TRUE					Inheritable from Parent
CropBox	rectangle	1.0		FALSE	FALSE	TRUE	@MediaBox				Inheritable from Parent
BleedBox	rectangle	1.3		FALSE	FALSE	FALSE	@CropBox				Inheritable from Parent
TrimBox	rectangle	1.3		FALSE	FALSE	FALSE	@CropBox				
ArtBox	rectangle	1.3		FALSE	FALSE	FALSE	@CropBox				
Contents	array;stream	1.0		FALSE	[FALSE];[TRUE]	FALSE				[ArrayOfStreamsGeneral];[Stream]	
Rotate	integer	1.0		FALSE	FALSE	TRUE	0	[fn:Eval((@Rotate mod 90)==0)]			Inheritable from Parent
Thumb	stream	1.0		FALSE	TRUE	FALSE				[Thumbnail]	
B	array	1.1		FALSE	FALSE	FALSE			[fn:Not(fn:IsPresent(@Type==Template))]	[ArrayOfBeads]	
Dur	number	1.1		FALSE	FALSE	FALSE					
Trans	dictionary	1.1		FALSE	FALSE	FALSE				[Transition]	
Annots	array	1.0		FALSE	FALSE	FALSE				[ArrayOfAnnots]	
AA	dictionary	1.2		FALSE	FALSE	FALSE				[AddActionPageObject]	
PieceInfo	dictionary	1.3		FALSE	FALSE	FALSE			[fn:Eval(fn:IsPresent(LastModified))]	[PagePiece]	
StructParents	integer	1.3		fn:IsRequired(fn:PageContainsStructContentItems())	FALSE	FALSE					Table 359
ID	string-byte	1.3		FALSE	FALSE	FALSE					https://github.com/pdf-association/pdf-issues/issues/106
PZ	number	1.3		FALSE	FALSE	FALSE					
SeparationInfo	dictionary	1.3		FALSE	FALSE	FALSE				[Separation]	
Hid	boolean	1.1	1.3	FALSE	FALSE	TRUE	false				
