Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.3		FALSE	FALSE			[StructElem]		
S	name	1.3		TRUE	FALSE					
P	dictionary	1.3		TRUE	TRUE					[StructElem,StructTreeRoot]
ID	string-byte	1.3		FALSE	FALSE					
Pg	dictionary	1.3		FALSE	TRUE					[PageObject]
K	array;dictionary;integer	1.3		FALSE	FALSE					[ArrayOfStructElemKids];[StructElem,MarkedContentReference,ObjectReference];[]
A	array;dictionary	1.3		FALSE	FALSE					[ArrayOfAttributes];[StandardLayoutAttributes,StandardTableAttributes,StandardListAttributes,StandardPrintFieldAttributes,StandardArtifactAttributes,UserPropertiesAttributes,NSOAttributes]
C	array;name	1.3		FALSE	FALSE					[];[]
R	integer	1.3		FALSE	FALSE		0	[<0..)]		
T	string-text	1.3		FALSE	FALSE					
Alt	string-text	1.3		FALSE	FALSE					
