Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3	2.0	FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.3	2.0	TRUE	FALSE	FALSE		[TrapNet]			
Rect	rectangle	1.3	2.0	TRUE	FALSE	FALSE					
Contents	string	1.3	2.0	FALSE	FALSE	FALSE					
P	dictionary	1.3	2.0	FALSE	FALSE	FALSE				[PageObject]	
NM	string	1.4	2.0	FALSE	FALSE	FALSE					
M	date;string	1.3	2.0	FALSE	FALSE	FALSE					
F	integer	1.3	2.0	TRUE	FALSE	FALSE					
AP	dictionary	1.3	2.0	TRUE	FALSE	FALSE				[AppearanceTrapNet]	
AS	name	1.3	2.0	TRUE	FALSE	FALSE					
Border	array	1.3	2.0	FALSE	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.3	2.0	FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.3	2.0	FALSE	FALSE	FALSE					
LastModified	date	1.4	2.0	FALSE	FALSE	FALSE					
Version	array	1.3	2.0	FALSE	FALSE	FALSE			Required if Version is present; shall be absent if LastModified is present	[_UniversalArray]	
AnnotStates	array	1.3	2.0	FALSE	FALSE	FALSE			Required if Version is present; shall be absent if LastModified is present	[ArrayOfAnnotStates]	
FontFauxing	array	1.3	2.0	FALSE	FALSE	FALSE				[ArrayOfFonts]	
