Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[FontDescriptor]			
FontName	name	1.0		TRUE	FALSE	FALSE					
Flags	integer	1.0		TRUE	FALSE	FALSE					
FontBBox	rectangle	1.0		TRUE	FALSE	FALSE			Optional for Type 3 fonts		
ItalicAngle	number	1.0		TRUE	FALSE	FALSE					
Ascent	number	1.0		TRUE	FALSE	FALSE			Optional for Type 3 fonts		
Descent	number	1.0		TRUE	FALSE	FALSE		[value<0]	Optional for Type 3 fonts		
Leading	number	1.0		FALSE	FALSE	FALSE	0				
CapHeight	number	1.0		FALSE	FALSE	FALSE					
XHeight	number	1.0		FALSE	FALSE	FALSE	0				
StemV	number	1.0		TRUE	FALSE	FALSE			Optional for Type 3 fonts		
StemH	number	1.0		FALSE	FALSE	FALSE	0				
AvgWidth	number	1.0		FALSE	FALSE	FALSE	0				
MaxWidth	number	1.0		FALSE	FALSE	FALSE	0				
MissingWidth	number	1.0		FALSE	FALSE	FALSE	0				
FontFile	stream	1.1		FALSE	FALSE	FALSE				[FontFileType1]	
FontFile2	stream	1.2		FALSE	TRUE	FALSE				[FontFile2TrueType]	
CharSet	string-ascii;string-byte	1.1	2.0	FALSE	FALSE	FALSE					
