Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.3		FALSE	FALSE			[Sig]		
Filter	name	1.3		TRUE	FALSE				Inheritable:Parent	
SubFilter	name	1.3		FALSE	FALSE					
Contents	string-byte	1.3		TRUE	FALSE					
Cert	array;string-byte	1.3		FALSE	FALSE					[];[]
ByteRange	array	1.3		FALSE	FALSE					[]
Changes	array	1.3		FALSE	FALSE					[]
Name	string-text	1.3		FALSE	FALSE					
M	date	1.3		FALSE	FALSE					
Location	string-text	1.3		FALSE	FALSE					
Reason	string-text	1.3		FALSE	FALSE					
ContactInfo	string-text	1.3		FALSE	FALSE					
R	integer	1.3		FALSE	FALSE					
