Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
O	name	1.3		TRUE	FALSE		[Layout]			
Placement	name	1.4		FALSE	FALSE		[Block,Inline,Before,Start,End]			
WritingMode	name	1.4		FALSE	FALSE	LrTb	[LrTb,RlTb,tbRl,TbLr,LrBt,RlBt,BtRl,BtLr]			
SpaceBefore	number	1.4		FALSE	FALSE	0				
SpaceAfter	number	1.4		FALSE	FALSE	0				
StartIndent	number	1.4		FALSE	FALSE	0				
EndIndent	number	1.4		FALSE	FALSE	0				
TextIndent	number	1.4		FALSE	FALSE	0				
TextAlign	name	1.4		FALSE	FALSE	Start	[Start,Center,End,Justify]			
BBox	rectangle	1.4		FALSE	FALSE					
Width	name;number	1.4		FALSE	FALSE	Auto				
Height	name;number	1.4		FALSE	FALSE	Auto				
BlockAlign	name	1.4		FALSE	FALSE	Before	[Before,Middle,After,Justify]	inheritable		
InlineAlign	name	1.4		FALSE	FALSE	Start	[Start,Center,End]	inheritable		
