Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
O	name	1.3		TRUE	FALSE	FALSE		[Layout]			Table 360 and Table 376 and Table 377 and Table 378 and Table 380
Placement	name	1.4		FALSE	FALSE	FALSE		[Inline,Before,Start,End]			
WritingMode	name	1.4		FALSE	FALSE	TRUE	LrTb	[LrTb,RlTb,TbRl,TbLr,LrBt,RlBt,BtRl,BtLr]			
BaselineShift	number	1.4		FALSE	FALSE	TRUE	0				
LineHeight	name;number	1.4		FALSE	FALSE	TRUE	[Normal];[]	[Normal,Auto];[]			
TextDecorationType	name	1.4		FALSE	FALSE	TRUE	None	[None,Underline,Overline,LineThrough]			
SpaceBefore	number	1.4		FALSE	FALSE	FALSE	0		[fn:Eval(@Placement!=Inline)]		
SpaceAfter	number	1.4		FALSE	FALSE	FALSE	0		[fn:Eval(@Placement!=Inline)]		
StartIndent	number	1.4		FALSE	FALSE	TRUE	0		[fn:Eval(@Placement!=Inline)]		
EndIndent	number	1.4		FALSE	FALSE	TRUE	0		[fn:Eval(@Placement!=Inline)]		
