Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2		FALSE	FALSE	FALSE		[XObject]			
Subtype	name	1.2		TRUE	FALSE	FALSE		[Form]		[ColorantsDict]	
FormType	integer	1.2		FALSE	FALSE	FALSE		[1]			
BBox	rectangle	1.2		TRUE	FALSE	FALSE					
Matrix	array	1.2		FALSE	FALSE	FALSE	[1 0 0 1 0 0]			[Matrix]	
Resources	dictionary	1.2		FALSE	FALSE	FALSE				[Resource]	
Group	dictionary	1.4		FALSE	FALSE	FALSE				[Group]	
Ref	dictionary	1.4		FALSE	FALSE	FALSE				[Reference]	
Metadata	stream	1.4		FALSE	FALSE	FALSE				[Metadata]	
PieceInfo	dictionary	1.3		FALSE	FALSE	FALSE				[PagePiece]	
LastModified	date	1.3		fn:IsRequired(fn:IsPresent(PieceInfo))	FALSE	FALSE					
StructParent	integer	1.3		FALSE	FALSE	FALSE					
StructParents	integer	1.3		FALSE	FALSE	FALSE					
OPI	dictionary	1.2	2.0	FALSE	FALSE	FALSE				[OPIVersion13,OPIVersion20]	
Name	name	1.0	2.0	FALSE	FALSE	FALSE					
Length	integer	1.3		TRUE	FALSE	FALSE					
Filter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[ArrayOfCompressionFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,fn:SinceVersion(1.2,FilterFlateDecode),fn:SinceVersion(1.5,FilterCrypt)]	
F	dictionary;string	1.3		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[ArrayOfCompressionFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,fn:SinceVersion(1.2,FilterFlateDecode),fn:SinceVersion(1.5,FilterCrypt)]	
MarkStyle	string-text	1.4		FALSE	FALSE	FALSE					*from printer mark form dictionary
Colorants	dictionary	1.4		FALSE	FALSE	FALSE				[ColorantsDict]	
