Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.4		FALSE	FALSE	FALSE		[XObject]			
Subtype	name	1.4		TRUE	FALSE	FALSE		[Image]			
Width	integer	1.4		TRUE	FALSE	FALSE					
Height	integer	1.4		TRUE	FALSE	FALSE					
ColorSpace	name	1.4		TRUE	FALSE	FALSE		[DeviceGray]			
BitsPerComponent	integer	1.4		TRUE	FALSE	FALSE					
ImageMask	boolean	1.4		FALSE	FALSE	FALSE	FALSE				
Decode	array	1.4		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral]	
Interpolate	boolean	1.4		FALSE	FALSE	FALSE	FALSE				
Matte	array	1.4		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral]	
Length	integer	1.4		TRUE	FALSE	FALSE					
Filter	array;name	1.4		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,CCITTFaxDecode,fn:SinceVersion(1.4,JBIG2Decode),DCTDecode,fn:SinceVersion(1.5,JPXDecode),fn:SinceVersion(1.5,Crypt)]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.4		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,fn:SinceVersion(1.2,FilterFlateDecode),FilterCCITTFaxDecode,fn:SinceVersion(1.4,FilterJBIG2Decode),FilterDCTDecode,fn:SinceVersion(1.5,FilterCrypt)]	
F	dictionary;string	1.4		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.4		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,CCITTFaxDecode,fn:SinceVersion(1.4,JBIG2Decode),DCTDecode,fn:SinceVersion(1.5,JPXDecode),fn:SinceVersion(1.5,Crypt)]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.4		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,fn:SinceVersion(1.2,FilterFlateDecode),FilterCCITTFaxDecode,fn:SinceVersion(1.4,FilterJBIG2Decode),FilterDCTDecode,fn:SinceVersion(1.5,FilterCrypt)]	
