Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3	2.0	FALSE	FALSE		[Annot]			
Subtype	name	1.3	2.0	TRUE	FALSE		[TrapNet]			
Rect	rectangle	1.3	2.0	TRUE	FALSE					
Contents	string	1.3	2.0	FALSE	FALSE					
P	dictionary	1.3	2.0	FALSE	FALSE				[PageObject]	
NM	string	1.4	2.0	FALSE	FALSE					
M	date;string	1.3	2.0	FALSE	FALSE					
F	integer	1.3	2.0	TRUE	FALSE					
AP	dictionary	1.3	2.0	TRUE	FALSE				[AppearanceTrapNet]	
AS	name	1.3	2.0	TRUE	FALSE					
Border	array	1.3	2.0	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C 	array	1.3	2.0	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.3	2.0	FALSE	FALSE					
OC	dictionary	1.5	2.0	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
LastModified	date	1.4	2.0	FALSE	FALSE					
Version	array	1.3	2.0	FALSE	FALSE			Required if Version is present; shall be absent if LastModified is present	[_UniversalArray]	
AnnotStates	array	1.3	2.0	FALSE	FALSE			Required if Version is present; shall be absent if LastModified is present	[ArrayOfAnnotStates]	
FontFauxing	array	1.3	2.0	FALSE	FALSE				[ArrayOfFonts]	
