Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE		[Page]			
Parent	dictionary	1.0		TRUE	TRUE				[PageTreeNode,PageTreeNodeRoot]	
LastModified	date	1.3		FALSE	FALSE					
Resources	dictionary	1.0		TRUE	FALSE				[Resource]	
MediaBox	rectangle	1.0		TRUE	FALSE					
CropBox	rectangle	1.0		FALSE	FALSE	@MediaBox				
BleedBox	rectangle	1.3		FALSE	FALSE	@CropBox				
TrimBox	rectangle	1.3		FALSE	FALSE	@CropBox				
ArtBox	rectangle	1.3		FALSE	FALSE	@CropBox				
BoxColorInfo	dictionary	1.4		FALSE	FALSE				[BoxColorInfo]	
Contents	array;stream	1.0		FALSE	FALSE				[ArrayOfStreamsGeneral];[Stream]	
Rotate	integer	1.0		FALSE	FALSE	0	[0,90,180,270]			
Group	dictionary	1.4		FALSE	FALSE				[Group]	
Thumb	stream	1.0		FALSE	FALSE				[Thumbnail]	
B	array	1.1		FALSE	FALSE				[ArrayOfBeads]	
Dur	number	1.1		FALSE	FALSE					
Trans	dictionary	1.1		FALSE	FALSE				[Transition]	
Annots	array	1.0		FALSE	FALSE				[ArrayOfAnnots]	
AA	dictionary	1.2		FALSE	FALSE				[AddActionPageObject]	
Metadata	stream	1.4		FALSE	FALSE				[Metadata]	
PieceInfo	dictionary	1.3		FALSE	FALSE				[PagePiece]	
StructParents	integer	1.3		FALSE	FALSE					
ID	string-byte	1.3		FALSE	FALSE					byte string
PZ	number	1.3		FALSE	FALSE					
SeparationInfo	dictionary	1.3		FALSE	FALSE				[Separation]	
Tabs	name	1.5		FALSE	FALSE					
TemplateInstantiated	name	1.5		FALSE	FALSE					
PresSteps	dictionary	1.5		FALSE	FALSE				[NavNode]	
