Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2		FALSE	FALSE	FALSE		[Pattern]			
PatternType	integer	1.2		TRUE	FALSE	FALSE		[1]			
PaintType	integer	1.2		TRUE	FALSE	FALSE		[1,2]			
TilingType	integer	1.2		TRUE	FALSE	FALSE		[1,2,3]			
BBox	rectangle	1.2		TRUE	FALSE	FALSE					
XStep	number	1.2		TRUE	FALSE	FALSE					
YStep	number	1.2		TRUE	FALSE	FALSE					
Resources	dictionary	1.2		TRUE	FALSE	FALSE				[Resource]	
Matrix	array	1.2		FALSE	FALSE	FALSE				[Matrix]	
Length	integer	1.2		TRUE	FALSE	FALSE					
Filter	array;name	1.2		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[ArrayOfCompressionFilterNames];[]	
DecodeParms	array;dictionary	1.2		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
F	dictionary;string	1.2		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.2		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[ArrayOfCompressionFilterNames];[]	
FDecodeParms	array;dictionary	1.2		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
DL	integer	1.5		FALSE	FALSE	FALSE					
XUID	array	1.2	1.3	FALSE	FALSE	FALSE				[ArrayOfIntegersGeneral]	
