Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
O	name	1.3		TRUE	FALSE		[Layout]			
Placement	name	1.4		FALSE	FALSE		[Block,Inline,Before,Start,End]	not inheritable		
WritingMode	name	1.4		FALSE	FALSE	LrTb	[LrTb,RlTb,tbRl,TbLr,LrBt,RlBt,BtRl,BtLr]	inheritable		
BackgroundColor	array	1.5		FALSE	FALSE			not inheritable	[ArrayOf_3RGBNumbers]	
BorderColor	array	1.5		FALSE	FALSE			inheritable	[ArrayOf_4BorderColors,ArrayOf_3RGBNumbers]	
BorderStyle	array;name	1.5		FALSE	FALSE	None	[];[None,Hidden,Dotted,Dashed,Solid,Double,Groove,Ridge,Inset,Outset]	not inheritable	[ArrayOf_4BorderStyleNames];[]	
BorderThickness	array;number	1.5		FALSE	FALSE	0		inheritable	[ArrayOf_4Integers];[]	
Padding	array;number	1.5		FALSE	FALSE	0		not inheritable	[ArrayOf_4Integers];[]	
Color	array	1.5		FALSE	FALSE			inheritable	[ArrayOf_3RGBNumbers]	
BaselineShift	number	1.4		FALSE	FALSE	0		inheritable		
LineHeight	name;number	1.4		FALSE	FALSE	Normal	[Normal,Auto];[]	inheritable		
TextDecorationColor	array	1.5		FALSE	FALSE			inheritable	[ArrayOf_3RGBNumbers]	
TextDecorationThickness	number	1.5		FALSE	FALSE			inheritable		
TextDecorationType	name	1.4		FALSE	FALSE	None	[None,Underline,Overline,LineThrough]	inheritable		
RubyAlign	name	1.5		FALSE	FALSE	Distribute	[Start,Center,End,Justify,Distribute]	inheritable		
RubyPosition	name	1.5		FALSE	FALSE	Before	[Before,After,Warichu,Inline]	inheritable		
GlyphOrientationVertical	name;number	1.5		FALSE	FALSE	Auto	[Auto];[-180,-90,0,90,180,270,360]	inheritable		
