Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.6		FALSE	FALSE	FALSE		[3DView]			
XN	string-text	1.6		TRUE	FALSE	FALSE					
IN	string-text	1.6		FALSE	FALSE	FALSE					
MS	name	1.6		FALSE	FALSE	FALSE		[M,U3D]			
C2W	array	1.6		fn:IsRequired(@MS==M)	FALSE	FALSE				[ArrayOf3DTransMatrix]	
U3DPath	array;string-text	1.6		fn:IsRequired(@MS==U3D)	FALSE	FALSE				[ArrayOfStringsText];[]	
CO	number	1.6		FALSE	FALSE	FALSE					
P	dictionary	1.6		FALSE	FALSE	FALSE				[Projection]	
O	stream	1.6		FALSE	TRUE	FALSE			[fn:IsMeaningful(fn:IsPresent(MS) && fn:IsPresent(P))]	[XObjectFormType1]	
BG	dictionary	1.6		FALSE	FALSE	FALSE				[3DBackground]	
