Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.6		FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.6		TRUE	FALSE	FALSE		[3D]			
Rect	rectangle	1.6		TRUE	FALSE	FALSE					
Contents	string-text	1.6		FALSE	FALSE	FALSE					
P	dictionary	1.6		FALSE	TRUE	FALSE				[PageObject]	
NM	string-text	1.6		FALSE	FALSE	FALSE					
M	date;string-text	1.6		FALSE	FALSE	FALSE		[];[]			
F	bitmask	1.6		FALSE	FALSE	FALSE	0		[fn:Eval(fn:BeforeVersion(1.7,fn:BitsClear(10,32)) && fn:BitsClear(11,32))]		
AP	dictionary	1.6		fn:IsRequired(fn:SinceVersion(2.0,(fn:RectWidth(Rect)>0) || (fn:RectHeight(Rect)>0)))	FALSE	FALSE				[Appearance]	
AS	name	1.6		fn:IsRequired(fn:IsPresent(AP::N::*) || fn:IsPresent(AP::R::*) || fn:IsPresent(AP::D::*))	FALSE	FALSE					
Border	array	1.6		FALSE	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.6		FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.6		FALSE	FALSE	FALSE					
OC	dictionary	1.6		FALSE	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
3DD	dictionary;stream	1.6		TRUE	[FALSE];[TRUE]	FALSE				[3DReference];[3DStream]	
3DV	dictionary;integer;name;string	1.6		FALSE	FALSE	FALSE				[3DView];[];[];[]	
3DA	dictionary	1.6		FALSE	FALSE	FALSE				[3DActivation]	
3DI	boolean	1.6		FALSE	FALSE	FALSE	true				
3DB	rectangle	1.6		FALSE	FALSE	FALSE					
