Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.2		FALSE	FALSE		[Annot]		
Subtype	name	1.2		TRUE	FALSE		[Widget]		
Rect	rectangle	1.2		TRUE	FALSE				
Contents	string-text	1.2		FALSE	FALSE				
P	dictionary	1.3		FALSE	FALSE				[PageObject]
NM	string-text	1.4		FALSE	FALSE				
M	date;string-text	1.2		FALSE	FALSE				
F	integer	1.2		FALSE	FALSE	0			
AP	dictionary	1.2		FALSE	FALSE				[Appearance]
AS	name	1.2		FALSE	FALSE				
Border	array	1.2		FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]
C 	array	1.2		FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]
StructParent	integer	1.3		FALSE	FALSE				
OC	dictionary	1.5		FALSE	FALSE				[OptContentGroup,OptContentMembership]
H	name	1.2		FALSE	FALSE	I	[N,I,O,P,T]		
MK	dictionary	1.5		FALSE	FALSE				[AppearanceCharacteristics]
A	dictionary	1.2		FALSE	FALSE				[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]
AA	dictionary	1.2		FALSE	FALSE				[AddActionAnnotation]
BS	dictionary	1.2		FALSE	FALSE				[BorderStyle]
Parent	dictionary	1.2		FALSE	FALSE				[Field]
