Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Filter	name	1.1		TRUE	FALSE	Standard	[Standard]		
SubFilter	name	1.3		FALSE	FALSE				
V	integer	1.4		TRUE	FALSE		[0,1,2,3,4,5]		
Length	integer	1.4	2.0	FALSE	FALSE	40	[<40..128> value*8]		
CF	dictionary	1.5		FALSE	FALSE				[CryptFilter]
StmF	name	1.5		FALSE	FALSE	Identity			
StrF	name	1.5		FALSE	FALSE	Identity			
EFF	name	1.1		FALSE	FALSE				
R	integer	1.1		TRUE	FALSE		[2,3,4,5,6]		
O	string-byte	1.1		TRUE	FALSE				
U	string-byte	1.1		TRUE	FALSE				
OE	string-byte	1.1		FALSE	FALSE			IsR=6=>Required=TRUE	
UE	string-byte	1.1		FALSE	FALSE			IsR=6=>Required=TRUE	
P	integer	1.1		TRUE	FALSE		[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]		
Perms	string-byte	1.1		FALSE	FALSE			IsR=6=>Required=TRUE	
EncryptMetadata	boolean	1.3		FALSE	FALSE	TRUE			
