Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
JavaScriptActions	integer	1.5		FALSE	FALSE	FALSE					
LaunchActions	integer	1.5		FALSE	FALSE	FALSE					
URIActions	integer	1.5		FALSE	FALSE	FALSE					
MovieActions	integer	1.5		FALSE	FALSE	FALSE					
SoundActions	integer	1.5		FALSE	FALSE	FALSE					
HideAnnotationActions	integer	1.5		FALSE	FALSE	FALSE					
GoToRemoteActions	integer	1.5		FALSE	FALSE	FALSE					
AlternateImages	integer	1.5		FALSE	FALSE	FALSE					
ExternalStreams	integer	1.5		FALSE	FALSE	FALSE					
TrueTypeFonts	integer	1.5		FALSE	FALSE	FALSE					
ExternalRefXobjects	integer	1.5		FALSE	FALSE	FALSE					
ExternalOPIdicts	integer	1.5		FALSE	FALSE	FALSE					
NonEmbeddedFonts	integer	1.5		FALSE	FALSE	FALSE					
DevDepGS_OP	integer	1.5		FALSE	FALSE	FALSE					
DevDepGS_HT	integer	1.5		FALSE	FALSE	FALSE					
DevDepGS_TR	integer	1.5		FALSE	FALSE	FALSE					
DevDepGS_UCR	integer	1.5		FALSE	FALSE	FALSE					
DevDepGS_BG	integer	1.5		FALSE	FALSE	FALSE					
DevDepGS_FL	integer	1.5		FALSE	FALSE	FALSE					
Annotations	integer	1.5		FALSE	FALSE	FALSE					
OptionalContent	boolean	1.5		FALSE	FALSE	FALSE					
Attestation	string-text	1.5		FALSE	FALSE	FALSE					
