Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	fn:Extension(ISO_19005_3,1.7)		FALSE	FALSE	FALSE		[EmbeddedFile]			Table 5 and Table 44
Subtype	name	fn:Extension(ISO_19005_3,1.7)		TRUE	FALSE	FALSE					https://github.com/pdf-association/pdf-issues/issues/155, https://github.com/pdf-association/pdf-issues/issues/156 - also check every page/Annots/RichMediaContent/Assets
Params	dictionary	fn:Extension(ISO_19005_3,1.7)		TRUE	FALSE	FALSE				[AFEmbeddedFileParameter]	
Length	integer	fn:Extension(ISO_19005_3,1.7)		TRUE	FALSE	FALSE					
Filter	array;name	fn:Extension(ISO_19005_3,1.7)		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]	[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	fn:Extension(ISO_19005_3,1.7)		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
F	dictionary;string	fn:Extension(ISO_19005_3,1.7)		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	fn:Extension(ISO_19005_3,1.7)		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]	[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	fn:Extension(ISO_19005_3,1.7)		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
DL	integer	fn:Extension(ISO_19005_3,1.7)		FALSE	FALSE	FALSE			[fn:Eval(@DL>=0)]		
Mail_MediaTypeParameters	string-text	fn:Extension(EAPDF_1)		FALSE	FALSE	FALSE					EA=PDF 1.0 and https://github.com/pdf-association/pdf-issues/issues/155
