Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.4		FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.4		TRUE	FALSE	FALSE		[PrinterMark]			
Rect	rectangle	1.4		TRUE	FALSE	FALSE					
Contents	string-text	1.4		FALSE	FALSE	FALSE					
P	dictionary	1.4		FALSE	TRUE	FALSE				[PageObject]	
NM	string-text	1.4		FALSE	FALSE	FALSE					
M	date;string-text	1.4		FALSE	FALSE	FALSE					
F	integer	1.4		TRUE	FALSE	FALSE	0				
AP	dictionary	1.4		FALSE	FALSE	FALSE				[AppearancePrinterMark]	
AS	name	1.4		FALSE	FALSE	FALSE					
Border	array	1.4		FALSE	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.4		FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.4		FALSE	FALSE	FALSE					
OC	dictionary	1.5		FALSE	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
MN	name	1.4		FALSE	FALSE	FALSE		[ColorBar,RegistrationTarget]			
ExData	dictionary	1.7		FALSE	FALSE	FALSE				[ExData3DMarkup,ExDataMarkupGeo,ExDataProjection]	
